species,rep,Apre,gspre,Epre,PARpre,Asat,gssat,gsmax,gsrelk,Esat,PARsat,Tleaf,VPDpre,VPDsat,MPa,treatment,date,ld,maxvalue,LA
Aco,7,2.6,0.06,0.29,50.09,14.38,0.35,0.35,1,4.82,1499.04,27.04,0.45,1.5,0.78,d,10/01/2017,,N,6
Aco,18,3.41,0.32,3.35,80.43,16.84,0.3,0.35,0.86,3.55,1499.86,26.76,1.13,1.28,0.62,d,11/01/2017,,N,6
Aco,17,3.74,0.04,0.4,141.33,18.51,0.25,0.35,0.71,4.26,1499.94,27.79,0.96,1.81,0.76,w,11/01/2017,,Y,6
Aco,12,10.21,0.2,3.05,370.52,14.67,0.21,0.35,0.6,3.5,1499.36,29.71,1.56,1.74,0.67,w,11/01/2017,,Y,6
Aco,2,4.82,0.16,2.01,110.16,15.61,0.18,0.35,0.51,2.76,1499.17,28.02,1.32,1.57,0.66,w,12/01/2017,,Y,6
Aco,18,7.52,0.22,2.32,150.6,14.54,0.23,0.35,0.66,3.17,1499.26,28.59,1.11,1.44,1.06,d,12/01/2017,,N,6
Aco,3,1.81,0.06,0.96,181.28,2.38,0.04,0.35,0.11,0.95,1499.17,31.89,1.7,2.14,1.75,d,12/01/2017,,N,6
Aco,9,4.8,0.07,0.83,130.94,8.09,0.06,0.35,0.17,1.13,1500.46,27.44,1.25,1.82,1.15,d,12/01/2017,,N,6
Aco,1,11.68,0.14,2.29,311.06,15.2,0.15,0.35,0.43,2.87,1498.58,29.6,1.63,1.99,0.85,d,16/01/2017,,N,6
Aco,3,7.77,0.16,1.95,151.19,13.32,0.15,0.35,0.43,2.42,1499.89,27.99,1.29,1.62,1.05,d,16/01/2017,,N,6
Aco,4,4.27,0.29,2.81,110.96,15.96,0.3,0.35,0.86,3.46,1499.88,26.82,1.03,1.26,0.74,d,16/01/2017,,N,6
Aco,1,0.22,0,0.01,100.75,0.26,0,0.35,0,0.03,1499.65,28.63,1.45,1.73,2.39,d,16/01/2017,,N,6
Aco,4,0.03,0,0.03,479.8,0.08,0,0.35,0,0.03,1499.83,30.9,1.87,2.09,2.75,d,16/01/2017,,N,6
Aco,20,2.64,0.02,0.3,369.62,3.67,0.02,0.35,0.06,0.47,1498.65,30.43,1.77,2.03,2.05,d,19/01/2017,,N,6
Aco,21,-0.01,0,0.02,461.5,0.04,0,0.35,0,0.03,1499.14,30.2,1.73,1.91,3.07,d,19/01/2017,,N,6
Aco,22,0.23,0,0.05,461.28,0.31,0,0.35,0,0.1,1499.25,30.68,1.88,2.14,3.74,d,19/01/2017,,N,6
Aco,23,0.61,0.01,0.09,60.3,1.11,0.01,0.35,0.03,0.13,1498.76,25.47,1.31,1.63,2.66,d,19/01/2017,,N,6
