species,rep,bar,Mpa,PLC %,Ks kg s-1 m-1 MPa-1,outliers ks,LSC,outliers lsc
Aan,1,34.6,3.46,0,0.894883021,,2.14E-04,
Aan,2,79.5,7.95,20.5658216,1.696766396,,1.89E-04,
Aan,3,32.1,3.21,4.16331594,1.739131562,,,0.000311
Aan,4,88,8.8,88.65369204,0.928537279,,1.66E-04,
Aan,5,6.5,0.65,0,0.700621439,,2.03E-04,
Aan,6,9.1,0.91,0,0.722262778,,1.65E-04,
Aan,8,20.2,2.02,0,0.589822488,,1.80E-04,
Aan,9,92.7,9.27,33.81624551,0.98723684,,2.05E-04,
Aan,10,19.7,1.97,0,0.803303991,,2.54E-04,
Aan,11,24.8,2.48,0,0.828449835,,3.00E-04,
Aan,16,53.7,5.37,0.034434303,1.444289215,,2.41E-04,
Aan,18,59.7,5.97,22.06405877,1.244112585,,,0.000375
Aan,19,78.5,7.85,43.71610318,0.717686156,,,
Aan,20,91.2,9.12,44.54704536,1.060815116,,1.82E-04,
Aan,22,77.3,7.73,30.69790225,1.03378949,,2.59E-04,
Aan,23,81,8.1,93.1678789,1.352999855,,2.52E-04,
Aan,24,80,8,66.3426653,0.521912812,,1.10E-04,
Aan,3T,103.2,10.32,65.95034865,0.21351543,,,
Aan,4T,102.4,10.24,82.21564839,1.580900747,,,
Aan,21,135.4,13.54,100,0.186358752,,,
Aan,15,140,14,100,0.289715813,,,
Aco,1,29.3,2.93,10.59667142,1.847269948,,2.63E-04,
Aco,3,14.2,1.42,0.445152309,2.057830155,,5.14E-04,
Aco,4,19.8,1.98,40.32332393,1.917797619,,2.39E-04,
Aco,7,7.7,0.77,7.629832157,1.701694706,,2.68E-04,
Aco,8,58.1,5.81,97.37619412,0.439388186,,3.44E-05,
Aco,9,34.5,3.45,49.35412178,1.64327851,,2.98E-04,
Aco,10,84.8,8.48,93.96784005,1.953294827,,2.78E-04,
Aco,11,44.4,4.44,66.62260791,0.387651763,,3.86E-04,
Aco,15,47.5,4.75,71.58112891,0.270445972,,3.89E-05,
Aco,16,16.8,1.68,2.544423676,1.265015467,,3.86E-04,
Aco,18,7.8,0.78,0.59446595,1.308328002,,1.76E-04,
Aco,20,42,4.2,77.53620771,1.325945103,,2.95E-04,
Aco,21,27.9,2.79,56.34130448,0.259872308,,,
Aco,22,60.1,6.01,99.9962056,1.192261085,,,
Aco,23,42.4,4.24,24.78326129,0.741160561,,1.28E-04,
Aco,6,40.7,4.07,66.37672562,0.749424042,,9.96E-05,
Asm,1,42.2,4.22,44.42264446,0.8387381,,,
Asm,2,73.6,7.36,97.61195742,0.365610346,,3.29E-05,
Asm,4,11.4,1.14,7.806631787,0.516499058,,9.68E-05,
Asm,5,40,4,20.30078462,0.460488489,,8.06E-05,
Asm,8,12.1,1.21,0.442163928,1.278008269,,2.34E-04,
Asm,10,6.9,0.69,0,0.879261598,,1.20E-04,
Asm,11,33.5,3.35,5.512802195,0.977533374,,1.42E-04,
Asm,12,5.5,0.55,0,0.472579333,,1.29E-04,
Asm,14,48,4.8,89.76680203,0.573126937,,9.79E-05,
Asm,15,21.6,2.16,0,0.596525225,,5.80E-05,
Asm,17,64.2,6.42,97.36543499,0.292176117,,3.64E-05,
Asm,18,47.9,4.79,86.94887221,0.501895694,,1.18E-04,
Asm,19,44.7,4.47,80.31637049,0.935472199,,7.34E-05,
Asm,20,37.4,3.74,26.05970236,1.320126983,,2.08E-04,
Asm,22,45.2,4.52,30.70456428,1.087169127,,1.03E-04,
Asm,23,45.9,4.59,75.99512888,0.755835757,,1.39E-04,
Asm,24,52,5.2,93.13865954,0.507890561,,1.48E-04,
Cgu,1,30.2,3.02,54.29295408,NA,0.572351399,,
Cgu,2,55.6,5.56,97.18125618,1.977338928,,9.20E-05,
Cgu,4,5.2,0.52,0,1.757767749,,1.88E-04,
Cgu,5,27.5,2.75,58.84931014,1.317764615,,2.18E-04,
Cgu,6,13.9,1.39,5.433175816,1.532284649,,1.57E-04,
Cgu,7,19.4,1.94,2.032056373,2.105737607,,2.34E-04,
Cgu,8,34,3.4,86.71577799,1.573021593,,9.58E-05,
Cgu,10,24.1,2.41,82.88540648,1.953967745,,3.88E-04,
Cgu,11,44.3,4.43,97.58776746,NA,3.64,,
Cgu,14,27,2.7,10.3545747,1.983147588,,1.80E-04,
Cgu,15,35.2,3.52,95.32332971,1.762563655,,2.60E-04,
Cgu,17,37.4,3.74,58.08480423,NA,2.818723846,,
Cgu,18,54.8,5.48,90.26338701,1.013760194,,4.76E-05,
Cgu,20,31.1,3.11,7.902784744,1.398261992,,4.64E-05,
Cgu,21,31.8,3.18,75.45740017,2.564032973,,2.58E-04,
Cgu,22,46.5,4.65,96.39065901,1.845440006,,1.91E-04,
Cgu,23,22.4,2.24,48.26530198,NA,0.48,,
Ebl,1,41.2,4.12,56.72101628,1.399059399,,1.07E-04,
Ebl,2,12,1.2,4.265338097,1.925021823,,1.08E-04,
Ebl,3,16.3,1.63,7.930044553,1.612303451,,1.15E-04,
Ebl,4,28.4,2.84,7.310145211,2.213796001,,1.65E-04,
Ebl,6,50.7,5.07,66.36697576,0.816715198,,1.24E-04,
Ebl,7,8.5,0.85,0.685541035,3.030992323,,8.17E-05,
Ebl,8,59.9,5.99,96.65362361,1.946375431,,,0.00241
Ebl,10,50.3,5.03,52.49616671,0.609372718,,9.97E-05,
Ebl,13,11,1.1,10.87514716,1.702364477,,1.37E-04,
Ebl,14,58.4,5.84,99.56300835,1.855904657,,1.94E-04,
Ebl,15,17.9,1.79,6.798510267,1.526796165,,,0.000617
Ebl,16,30.3,3.03,21.27909014,1.797422935,,,0.000324
Ebl,18,19,1.9,10.8347398,2.443467871,,2.80E-04,
Ebl,19,28.4,2.84,17.11623258,1.890560406,,1.93E-04,
Ebl,20,40.8,4.08,18.13800249,2.558140662,,2.62E-04,
Ebl,22,49.9,4.99,47.37063739,1.977079069,,,0.000502
Ebl,23,36.1,3.61,32.59662799,1.26479227,,7.95E-05,
Ebl,24,7.4,0.74,3.041406153,2.969863,,1.38E-04,
Egr,1,7.1,0.71,2.306020305,2.385292216,,2.39E-04,
Egr,2,45.5,4.55,96.63302479,2.001429104,,,0.00329
Egr,4,43.2,4.32,99.49033634,2.090987085,,,0.00616
Egr,6,22.8,2.28,26.21255902,3.096969812,,4.34E-04,
Egr,7,27.9,2.79,9.471776283,2.446913893,,3.28E-04,
Egr,8,13.1,1.31,6.68553363,1.655490153,,1.89E-04,
Egr,9,10.7,1.07,10.55206786,1.778110753,,1.62E-04,
Egr,10,39,3.9,67.63863768,2.070721866,,3.46E-04,
Egr,11,30.4,3.04,51.03628098,2.03980688,,5.46E-04,
Egr,12,49.7,4.97,NA,NA,4.058442038,,
Egr,14,28.2,2.82,90.37552056,NA,0.860691178,,
Egr,15,11.6,1.16,11.4943341,2.867241164,,,
Egr,16,33.3,3.33,59.75420592,2.120852893,,5.13E-04,
Egr,18,35.8,3.58,95.9766676,2.188040565,,,
Egr,19,48.8,4.88,95.1174637,2.3617614,,,0.00229
Egr,20,19.9,1.99,17.34541142,2.122025567,,,0.00069
Egr,22,46.7,4.67,60.20910481,3.037258129,,3.54E-04,
Egr,24,41.2,4.12,98.44981385,2.691481726,,5.53E-04,
Ela,1,76.5,7.65,78.39303658,1.513628486,,4.66E-04,
Ela,2,54,5.4,15.30454443,0.846996187,,,
Ela,3,69,6.9,38.35062895,1.091134947,,1.40E-04,
Ela,5,70,7,61.73974306,2.240842942,,,
Ela,7,10.2,1.02,0,0.751620339,,1.38E-04,
Ela,9,7.7,0.77,4.987306861,NA,,,
Ela,10,96.7,9.67,99.74386383,2.206922966,,5.21E-04,
Ela,11,72.6,7.26,47.75124548,2.159205167,,3.50E-04,
Ela,13,65.8,6.58,23.68370366,1.304754568,,,
Ela,14,42,4.2,2.860473639,1.690682833,,4.56E-04,
Ela,15,30.7,3.07,2.40177896,1.021372557,,3.20E-04,
Ela,18,51,5.1,3.454444707,1.178244925,,2.13E-04,
Ela,19,37.2,3.72,9.009086629,1.832546565,,2.73E-04,
Ela,20,46.4,4.64,16.71421024,0.739142302,,,
Ela,21,91,9.1,50.64152871,1.421125157,,,
Ela,22,18.5,1.85,3.712156439,0.783152698,,,
Ela,17,81,8.1,53.18207428,0.543010387,,1.26E-04,
Ema,1,51.9,5.19,90.09129906,0.885817223,,2.97E-04,
Ema,3,8.7,0.87,3.954908112,1.653840194,,,
Ema,5,31,3.1,NA,3.083871469,,5.79E-04,
Ema,8,61,6.1,96.6528147,2.186411168,,2.97E-04,
Ema,9,24.6,2.46,8.973551845,0.861618137,,1.89E-04,
Ema,10,31.6,3.16,55.56118388,2.768858889,,4.21E-04,
Ema,11,40.6,4.06,71.18035994,1.798382896,,4.35E-04,
Ema,12,31.8,3.18,13.72652881,2.15756871,,4.11E-04,
Ema,14,68.9,6.89,93.38106708,1.946057519,,2.77E-04,
Ema,15,10.5,1.05,4.776208485,3.027555071,,6.06E-04,
Ema,16,50.2,5.02,85.35332887,2.507678653,,5.97E-04,
Ema,17,55.8,5.58,63.5538437,1.095393531,,3.62E-04,
Ema,18,46,4.6,44.48081914,1.912253149,,2.56E-04,
Ema,7,37.7,3.77,27.57477264,1.437788845,,,
Eme,1,66.7,6.67,69.86134008,2.188101904,,,0.000818
Eme,2,30,3,0.143830385,2.232987864,,4.07E-04,
Eme,3,8.7,0.87,4.884435499,NA,3.242145976,,
Eme,4,41.8,4.18,65.5015137,2.627373188,,2.38E-04,
Eme,5,53.8,5.38,55.6844293,1.300921934,,1.83E-04,
Eme,6,29,2.9,0.770981191,1.544648146,,2.61E-04,
Eme,7,42.6,4.26,NA,1.205779991,,,0.000616
Eme,9,39.3,3.93,73.3926876,1.420273707,,3.93E-04,
Eme,10,45.3,4.53,4.155933139,1.950386556,,3.74E-04,
Eme,13,35.5,3.55,0.923128362,1.764239433,,,
Eme,14,43.9,4.39,0.333403168,1.88966805,,2.25E-04,
Eme,15,78,7.8,98.13412033,2.016988079,,4.77E-04,
Eme,17,9.2,0.92,2.33264319,1.699261896,,2.93E-04,
Eme,18,53.7,5.37,46.05642457,1.791634984,,4.57E-04,
Eme,19,62.5,6.25,82.21568231,1.630439893,,2.27E-04,
Eme,20,70.7,7.07,96.63520563,2.074710528,,2.56E-04,
Eme,21,52.6,5.26,76.71036595,1.929708311,,3.69E-04,
Eme,22,61.2,6.12,98.67393391,1.774742625,,,0.00439
Eme,24,33.6,3.36,2.335586188,2.426015889,,9.54E-05,
Eme,23,25.1,2.51,12.05370082,1.596638146,,3.20E-04,
Epo,1,75.9,7.59,93.52939089,1.577515787,,1.76E-04,
Epo,3,4.6,0.46,0,NA,,,
Epo,4,6.7,0.67,0,NA,,,
Epo,5,43.4,4.34,39.89946101,2.141326064,,1.83E-04,
