"ml","md","Vl","Va","As","An","Cd","Nd"
0.1719,0.0597,NA,NA,2394,1197,46.8,1.41
0.1671,0.0539,NA,NA,2324,1162,46.5,1.3
0.2195,0.0782,NA,NA,3424,1712,46.7,1.58
0.3456,0.116,NA,NA,4612,2306,48.1,1.72
0.4955,0.2251,NA,NA,1992,996,54.3,0.93
0.5288,0.2481,NA,NA,2100,1050,53.9,1.14
0.6019,0.2889,NA,NA,2488,1244,54.2,0.99
0.552,0.2585,NA,NA,2210,1105,53.6,0.93
0.2772,0.1473,NA,NA,1248,624,NA,NA
0.218,0.1157,NA,NA,910,455,NA,NA
0.287,0.1345,NA,NA,1612,806,NA,NA
0.2661,0.1237,NA,NA,1476,738,NA,NA
1.5165,0.5604,NA,NA,9158,4579,49.2,1.63
1.1332,0.4126,NA,NA,6422,3211,50,1.69
0.6157,0.1778,NA,NA,6536,3268,50.1,2.21
0.427,0.1265,NA,NA,4446,2223,49.1,1.86
0.3321,0.1034,NA,NA,3616,1808,44.9,3.67
0.327,0.1105,NA,NA,3568,1784,44.9,3.83
0.6712,0.196,NA,NA,7422,3711,44.7,4.11
0.4778,0.1441,NA,NA,4684,2342,43.4,3.24
0.2626,0.1298,293,2,1422,711,51.9,0.81
0.2246,0.1119,NA,NA,1192,596,54,0.88
0.3008,0.1463,333,3,1856,928,52.1,1.01
0.3287,0.1614,NA,NA,2018,1009,52.4,1.02
0.0415,0.019,41,7,196,98,44.1,1.07
0.0405,0.0191,NA,NA,186,93,43.8,1.05
0.1095,0.0523,110,17,582,291,41.1,0.91
0.101,0.0456,NA,NA,548,274,41.9,0.92
0.2893,0.154,278,49,1388,694,NA,NA
0.302,0.1589,NA,NA,1472,736,NA,NA
0.2702,0.1284,260,22,1266,633,NA,NA
0.2668,0.1274,NA,NA,1292,646,NA,NA
0.5084,0.1674,453,16,4756,2378,43.3,2.86
0.5095,0.1711,NA,NA,4766,2383,43.6,2.54
0.392,0.1112,327,11,4874,2437,43,2.73
0.4998,0.1453,NA,NA,5898,2949,43.7,2.75
0.2864,0.1168,297,17,2284,1142,47.8,2.8
0.2118,0.0782,NA,NA,1882,941,47.8,2.71
0.1765,0.0401,168,5,2384,1192,45.4,3.78
0.1347,0.032,NA,NA,1904,952,45.6,3.4
0.789,0.1018,NA,NA,7558,3779,44.8,3.83
0.905,0.1026,NA,NA,7850,3925,43.6,4.13
0.6941,0.0951,NA,NA,6990,3495,43.7,3.33
0.3293,0.0419,NA,NA,3504,1752,43.6,2.96
0.8908,0.2361,696,267,7414,3707,49,2.56
0.7074,0.1745,NA,NA,6006,3003,48.3,2.39
0.5587,0.1304,426,127,5352,2676,48,2.33
0.5251,0.1106,NA,NA,NA,5268,48.5,2.3
0.037,0.0066,32,9,454,227,45.3,3.46
0.0433,0.0075,NA,NA,414,207,44.1,3.61
0.0409,0.008,35,10,544,272,45.5,4.01
0.0411,0.0072,NA,NA,454,227,52.3,4.08
0.503,0.2327,460,86,2608,1304,NA,NA
0.4238,0.19,NA,NA,2294,1147,NA,NA
0.2852,0.1105,263,27,1804,902,NA,NA
0.3043,0.1235,NA,NA,1960,980,NA,NA
0.3845,0.1716,391,17,2568,1284,53.8,1.35
0.3999,0.1725,NA,NA,2584,1292,53.6,1.61
0.5391,0.2576,567,14,3470,1735,51.1,1.4
0.5391,0.2576,NA,NA,3684,1842,52,1.2
0.1506,0.0549,NA,NA,1514,757,44.5,1.66
0.0916,0.0342,NA,NA,1010,505,43.2,1.77
0.1117,0.0421,NA,NA,1120,560,43.6,1.87
0.1299,0.0444,NA,NA,1216,608,44.2,1.81
0.0525,0.0221,49,10,276,138,50.3,1.17
0.0561,0.0234,NA,NA,304,152,47,1.29
0.1067,0.0486,105,19,626,313,43.3,0.89
0.0929,0.0389,NA,NA,602,301,47.5,0.9
0.467,0.2279,498,37,1474,737,54.1,0.87
0.3903,0.1847,NA,NA,1286,643,53.9,0.69
0.4704,0.2209,492,33,1622,811,54.3,0.82
0.2939,0.1326,NA,NA,1024,512,54.7,0.73
0.3903,0.1419,389,17,NA,306,50.2,1.07
0.3701,0.136,NA,NA,NA,205,50.7,1.04
0.2219,0.0765,221,21,NA,166,55.4,1.27
0.3073,0.1025,NA,NA,NA,157,48.7,0.8
0.6132,0.3083,586,118,2062,1031,53.5,1.67
0.3127,0.1578,NA,NA,NA,NA,50.6,1.05
0.5656,0.2599,490,150,1966,983,52,1.24
0.4537,0.2023,NA,NA,NA,NA,51.4,1.38
0.13,0.0607,144,1,NA,105,48.7,2.11
0.1169,0.0527,NA,NA,NA,87,51.6,1.88
0.0929,0.0434,104,0,NA,80,45.8,1.54
0.1312,0.0597,NA,NA,NA,117,46.8,1.84
0.5624,0.2146,406,206,2976,1488,51.9,1.47
0.658,0.2374,NA,NA,3264,1632,52.2,1.54
0.4828,0.1923,388,145,2428,1214,50.6,1.38
0.432,0.172,NA,NA,2106,1053,50.4,1.21
0.5552,0.2322,544,70,2654,1327,NA,NA
1.0698,0.4089,NA,NA,4612,2306,NA,NA
1.2776,0.4623,1206,188,6712,3356,57.6,2
1.3145,0.4506,NA,NA,6610,3305,54.5,1.78
1.2464,0.4458,1170,78,6610,3305,54.6,1.8
1.2106,0.3978,NA,NA,5900,2950,59.8,1.54
2.0011,0.9926,2090,36,8002,4001,43.7,1.13
2.0095,0.9955,NA,NA,7830,3915,48.2,1.04
2.4692,1.307,2556,258,8024,4012,54,1.52
2.9827,1.477,NA,NA,9132,4566,54.1,1.37
2.2768,1.1681,2290,197,7220,3610,46.7,1.21
2.6619,1.3182,NA,NA,7880,3940,51.5,1.4
0.3499,0.19,263,146,NA,910,54.7,1.62
0.3967,0.2096,NA,NA,NA,1003,60.4,1.37
0.2219,0.1157,187,71,NA,517,44.2,1.35
0.356,0.1825,NA,NA,NA,878,50.5,1.32
